nama orang,geb/overl.,organ.,werkgebied en -soort,werkperiode,bijzonderheden,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,id
"Landwehr, August (D)",1864-1912,RMG,P. Tello (Batu-eil.),1894-1912,,~ (1) 1897 Agnes Kämpfer † 1905,,,,,~ P. Tello. AK: zie Hummel 135v,~ (2) 1908 Paula Simoneit (1883-1957),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835
"Lange, Adrianus de, zdl (N)",1842-1910,NZG,"Tanawangko (Min), docent ",1874-1910,v/a 1877 tevens hoofd ,~ Manado 1875: Anna Helena Graafland (1856 (sic)-1917),,,kweek­school,,Zd-drukkerij; † te Den Haag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836
"Langenbruch, zr. Marta (D)",1907-1971,RMG,"NSumatra, Missionsschwester",1934-1940,10-5-1940 Ned. internering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837
"Langenmann, Marie (D)",1880-1966,RMG,"NSumatra, Missionsschwester",1910-1915,~ 1911 zdl. August Theis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838
"Langeveld, Joh. Martinus, zdl (N)",1909-1990,STC,Manganitu/Tamako (Sangir),1933-1937,verlof 1937-38,~ (1) 1932 W. Hofman † 1934,,NZG/VNZ,Pasi (Bolaang Mongondow),1938-1947,1942 geïntern. > verlof,~ (2) 1938 Amanda Chr. Steller † 1994,,VNZ,"Bol. Mong., > Paramaribo, (Suriname), pred.",1947-1950,"(1) was drs Grieks, Latijn, d.v. zdl Ph. Hofman",,,,,,,,,,,,,,,,,,,,,,,,,839
"Langeveld-Steller, Amanda A.C. (N)",1905-1994,NZG,"Kotamobagu (BM), Zend.-HIS",1940+,leraar middelbare school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840
"Lasschuit, H., zdl (N)", 1878-1949,UZV,Dodinga (Halmahera),1906-1913,"IM NZblad 1949-4,",~ 1906 Helena Maria Schewel † 1951,,,Kau (Halmahera),1913-1915,zie ook Hueting/Magany,,,CmDepok,"Depok, wnd docent Seminarie",1921-1923,1946-4,,,,"Bandung, docent kweekschool",1923-1931,1915-21 ziekteverlof ,,,,,,,,,,,,,,,,,,,841
"Lategahn, Carl, zdl (D)",1862-1943,RMG,Zuid-Kalimantan,1890-1904,> Noord-Amerika,~ 1892 Anna Clara Lang † 1937+ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842
"Latsch, Karl, zdl (D)",1884-1940,RMG,Nias,1921-1940,,~ ±1920 Elfriede Böcker † 1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843
"Lau, Frieda (D)",1892-1949,RMG,"NSumatra, Missionsschwester",1923-1940,1940 Ned. internering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844
"Lee, Rev. Edwin Ferd. (VS)",1884-1948,EpMeth,Batavia,±1911-1912,1912-15 in Manila,~ 1909 Edna Dorman,,,"Singapore, superintendent",1924-1928,,,,,"Manila, bisschop EpMC",1928-,,,,,,,,,,,,,,,,,,,,,,,,,,845
"Leersum, C.P. van, arts (N)",1901-1970,ZGKN-MJ,"Solo, arts in Zzh",1925-1926,"Reenders MJ 866; GZbl  928, 49;",~ 1928 Tjacoline H. Wiersema † 1934,,,"Solo, arts in Zzh",1928-1943,"1970, 243",,,,"arts Zd, maar gedetacheerd bij DVG en Rode Kruis",1946-1950,,,,,,,,,,,,,,,,,,,,,,,,,,846
"Leij, Siebe van der, arts (N)",1867-1938,ZGKN-MJ,"Yogya, Zzh, arts",1901-1902,,~ 1903 M.A.J. Marx † 1949,,SZ,"Purwodadi e.a., arts",1903-1931,> Nederland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847
"Leipoldt, Chr. Friedrich, zdl (D)",1844-1911,RMG,Noord-Sumatra,1870-1879,> Afrika,~ 1874 Anna Esselen † 1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848
"Lenk, zr. K. (D)",1886-..,RMG,Kuala Kapuas,±1912-1919,~ M. Präger in Banjarmasin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849
"Lenn, Paul R. (C.Y. Lam, China)",±1905-,C&MA,Oost-Kalimantan,1929-,"Lewis, Karya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850
"Lenz, Ludwig Wilhelm, zwm (D)",1823-1856,ZWM,zendeling-koopman op Flores,1854-1856,Reenders AZ 380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851
ongehuwd gebleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852
"Lenz, zr. Regina (D)",1893-1980,RMG,"Nias, Missionsschwester",1930-1933,~ 1935 zdl. A. Ameler,,,,"NSumatra, Missionsschwester",1933-1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853
"Lergon, Luise (D)",1852-1924,RMG,"NSumatra, Missionsschwester",1900-1911,eerste Zverpleegster in N-Sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854
"Le Roy, J.E. (Anna) (VS)",,C&MA,India,1928-1934,,,,,Lahat (Sumatra),1935-42/61,1948 werker C&MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855
"Lett, August, zdl (D)",1861-1909,RMG ,"Fadoro, Nias",1892-1895,~ te Gunung Sitoli,~ 1892 Julia Theodora Meurett † 1946,,RMG,Tapanuli,1895-1898,Cma 392: wegens ziekte,,,RMG,"P. Enggano, Mentawai",1901-1909,,,,,,,,,,,,,,,,,,,,,,,,,,856
"Letteboer, J.H., zdl (N)",1871-1929,NZG,Sawu (NTT) ,1896-1897,Mblad SZC 1920-8,~ 1895 Henriëtte A.S. Borsje † 1944,,,Sawu (NTT) > hp,1897-1901,IM NZblad 1929-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857
"Leung, T.K. (China)",±1905-,CFMU,Oost-Kalimantan,1929-,"Lewis, Karya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858
"Leussen, Chr.J. van, arts (N)",1896-1975,SZ,"Blora, Purwodadi, Zendingszh",1922-1942,,~ 1921 Sieberta de Boer † 1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859
"Lever, mevr. (N)",,ZGKN-MJ,secr. Zending te Purwokerto,1935-1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860
"Lewandowsky, Ed. H., zdl (D)",1870-1900,RMG,Zuid-Kalimantan,1895-1897,> Noord-Sumatra,"~ 1898 Lydia Wilh. Thomas, d.v. J.W. Thomas",,,,,huwelijk te Gunung Sitoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861
"Liefde, C.J. van de, zdl (N)",1836-1898,NZG,Amurang (Min),1861-1869,verlof 1869-72,~ (1) Manado 1866: Helena L. van Bergen † 1870,,,Amurang (Min) > hp,1872-1879,Kruijf 326-27,~ (2) 1871 (in NL) Baren­di­na van der Karst,,,,,"HLvB: † Jutphaas, NL",,,,,,,,,,,,,,,,,,,,,,,,,862
"Limburg, A., ond. (N)",1860-1924,NZG,"Tomohon (Min), dir. School ",1894-1910,IM NZblad 1924-9,~ 1886 Petronella H. Kooij † 1953,,,voor dochters v. aanzienlijken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863
"Linde, Sybolt van der, zdl (N)",1902-1995,NZV,Cirebon,1929-1938,tevens wnd predikant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864
ongehuwd gebleven,,,"Malang, docent Bale Wiyata",1940-1942,tevens wnd predikant,,,,wnd pred. GPIB,1950-1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865
"Lindeboom, Lucas B., arts (N)",1907-1981,NZG,"Kabanjahe, arts Zzh",1938-1939,"verlof, 1940, kan niet terug naar",~ 1933 W.M. Harrenstein † 1975,,,,,Indonesië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866
"Linden, J.C. ter, zie Terlinden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867
"Linden, Corn. Dor. van der, zwm (N)",1829-1855,ZWM,zendeling-koopman,1852-1855,Reenders AZ 380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868
ongehuwd gebleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869
"Linden, D.J. van der, zdl (N)",1837-1885,NZV,Cirebon,1863-1864,,~ 1872 J.M.C.J. van Gorcum † 1918,,,Indramayu (WJava),1864-1871,verlof 1871-73,,,,Bogor (WJava),1873-1885,,,,,,,,,,,,,,,,,,,,,,,,,,870
"Linden, ds. J. van der (N)",1907-1998,ZGKN-MJ,"Purworejo, miss. pred.",1938-1943,1942-45 Jap. internering,~ [blm ditemukan],,,"Semarang, miss. pred.",1950-1958,de Jong MJ 781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871
"Linden, zr. M. van der (N)",,NZG,"Mojowarno (OJava), verpl. ",1910-1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872
"Linemann, F.H., zdl (D)",1815-1883,NZG,"Bilba (Rote, NTT), zdl.",1841-1845,"Kruijf 191, 336-341, 684",~ Berendina Tergast † 1881,,,Manado + wnd pred. PKNI,1845-1883,BT meninggal te Manado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
"Link, Andreas (D)",1871-1938,RMG,"Noord-Sumatra, zdl.",1899-1914,,~ 1902 Elisabeth Nadelhoffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874
"Link, Wilhelm, zdl (D)",1902-1958,RMG,,1929-1938,,~ 1931 Klara Mühlenmeister † 1965+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875
"Linn, C.Y. (Jason S.) (China)",1903-1973+,C&MA,Oost-Kalimantan,1929-,autobiografie: Pioneer­ing in Dyak Borneo (1973),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876
"Lock, zr. M.W. (N)",1885-1969,ZGKN-S,"Payeti, Sumba, verpleegster",1913-1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877
"Lodder, dr. Johannes, arts (N)",1900-1959,NZG,Mojowarno (OJava),1934-1942,1942-45 Jap. internering,~ 1927 H.C. Vermeer † 1977+,,VNZ,Bandung,1947-1951,Zblad NHK 1959-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878
"Loeff, H.A., zdl (N)",1878-1960,NZG,Sonder (Minahasa),1906-1908,"> PKNI, hp",~ 1906 Luthera Anna Agatha Roijer (1884-1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879
"Loewenstein, Hermann (D)",1898-,RMG,"Pearaja-Tarutung, arts",1929-1934,,~ 1929 Elli Schöpgeshoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880
"Loggen (sic), zr. Grada R. Gesina (N)",1870-,ZGKN-MJ,"Yogya, hoofdverpleegster Zzh ",1907-1916,"GZbl 1907 & 1909: ""A. Log­gers""",,,,"Solo, hoofdverpl. Zzh > pens.",1916-1930,"naar Amsterdam. Rds MJ 866; GZbl 19097, 15 (foto)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881
"Lombeck, August H., zdl (D)",1868-1941,RMG,Noord-Sumatra,1897-1911,,~ Wilh. Funccius † 1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882
"Looijenga, Martha (N)",1883-,ZGKN-MJ,"Yogya, hoofd hh Zzh",1924-1936,"Rds MJ 866; GZbl 1924, 110; 1931, 8",,,,"Yogya, beperkte taak in Zzh",1938-1942?,1936-1938 ziekteverlof in NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883
"Loois, H., verpleger (N)",1884-1944,LdH,Java,1910-1913,† in Japanse internering,"~ 1912 Aafje Wilh. Jac. Belderink, verpl. LdH sinds 1910",,,"Palu, rang: kapitein LdHeils",1913-±1922,,,,,"> Java, Ambon",±1922-1942,,,,,,,,,,,,,,,,,,,,,,,,,,884
"Loosdrecht, A.A. van de, zdl (N)",1885-1917,GZB,Rantepao (ZCelebes),1913-1917,gedood 26-7-1917 te Bori,~ 1913 A.P. Sizoo † 1953,,,,,EndToraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885
"Loots, zr. M., diacones (N)",1889/0-1983,UZV,"Tobelo (Halmahera), verpl. ",1926-1939 ,"Dake 113-126. Verlof 1932-33, ",,,,"Tobelo, verpleegster",1946-1950,1939-1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886
"Lörcher, W., zdl (Zwits.)",1900-1982,BM,"Pahandut (Z-Kal.), zdl.",1929-1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887
"Lötz, Carl, zdl (D)",1877-1932,RMG,Tapanuli,1900-1927,,~ 1911 Lina Becker † 2-3-1927,,,,,~Tarutung 22-2-1911,~ (2) Wilh. Kraus (?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888
"Louis, Maria, ond. (D)",1866-,RMG,Zuid-Kalimantan,1892/3-1896,onderwijzeres meisjesschool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889
"Louwerier, D., zdl (N)",1871-1932+,NZG,Swaru (OJava),1895-1907,"nam 1907 ontslag, t/m 1932",~ 1897 Johanna Ulrica van Deun (1873-),,,,, admin. plantage in N-Sumatra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890
"Louwerier, J., zdl (N)",1840-1933,NZG,Tomohon (Minahassa),1868-1878,"> PKNI, hp. Kruijf 332-334;","~ 1870 Anna Maria van Leenhoff (""met de handschoen"")",,,,,IM NZblad 1933-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891
"Löwen, Peter, zdl. (Rusland)",1894-1955,DZV,Pakantan (Z-Tapanuli),1912-1914,"Jensma, 122v",~ Emilie Fellmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892
"Lück, Albert, (D)",1886-1942,RMG,"Nias, dir. opl.school guru's",±1917-1940,1926-1930 in Dld; † met de,~ 1920 Klara Oehl † 1966+,,,,,Van Imhoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893
"Luijendijk, ds. P.J. (N)",1907-1985,ZGKN-MJ,miss. pred. in West-Sumba,1933-1951,"GZbl 1932, 56",~1932 J. Klapwijk † 2004,,,leider Theol. School te Karuni,1951-1959,> 1960-1963 Secr. ZGKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894
"Luijke (Luyke) W., zdl (N)",1796/7-1886 NZG,,Ambon,1827-1829,"LAW XXIII-3; De Jong, MM",~ (1) 1833 Angenita van der Veer † 1841,,,Moa (ZW-Molukken),1829-1842,,~ (2) 1843 A.C.P. Harrar † 18--7-1879,,,Haruku (Midden-Molukken),1842-1853,,~ (3) ?M. van Rijsweg?,,,Waai (Ambon),1853-1854,,,,,Hutumuri (Ambon),1854-1861,,,,,Rumahtiga (Ambon),1861-1883,,,,,docent TOS,1966-1969,,895
"Luinenburg, mw. D., ond. (N)",1902-,NZG,"Mojowarno (OJava), Zd-HIS",1926,"d.v. S. Luinenburg ~ 1926 met Corn.Theod.Joh.Jac Elsevier, em- ployé BPM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896
"Luinenburg, O. (N)",1899-,NZG,"Mojowarno, admin. Zzh",1928-1936,z.v. S. Luinenburg,~ H.J. Pelle,1942/5,,"OJava, in algemene dienst",1936-1942,zie NZblad 1946-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897
"Luinenburg, S., zdl (N)",1874-1959,NZG,Parerejo (OJava),1898-1908,zie Zblad NHK 1960-1,~ (1) 1898 J.G. Berg † 1919 ,,,Swaru (OJava),1908-1910,verlof 1908,~ (2) 1920 D.M. Demme­nie † 1975,,,Segaran (OJava),1910-1921,verlof 1919-20,,,,Parerejo (OJava),1921-1932,,,,,,,,,,,,,,,,,,,,898
"Luitjes, Tjerk (N)",1907-1989,LdH,"Bora (Palu) > Manado, Ambon,",±1936,1942 nog op Java,"~ 1936, te Bora, met Maria Sikking † 1980",,,Java,,1942-1945 Jap. internering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899
"Lukkien, E.W. (N)",1893-,ZGKN-MJ,"Solo, ass. apoteker Zzh",1929-1935,Reenders MJ 866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900
"Lyman, Henry, zdl (VS)",1809-1834,ABCFM,"Batavia, Padang",1833-1834,,~ 1833 Eliza Pond (1806-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901
"Maan, G., zdl (N)",1869-1954,UZV,Bantaeng (ZCelebes),1895-1897,Mblad SZV 1920-4Zblad NHK ,~ 1895 Gerritje de Bruijn (1869-1945),,,Taneteya (ZCelebes) ,1897-1905,1954-10; NZbl 1935-4,,,,Weda/Buli (Halmahera),1905-1920,verlof 1905-06,,,,Tobelo (Halmahera),1922-1926,verlof 1920-22. > NL,,,,,,,,,,,,,,,,,,,902
"Mansell, Rev. Harry B. (VS)",1882-1956,EpMeth,"Batavia, superintendent ",1916-±1923,,~ 1907 Ethel Olive Wakefield (1884-1958),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903
"Marcks, Otto, zdl (D)",1875-1937,RMG,Noord-Sumatra,1900-1937,,~ 1905 Hanna Metzler † 1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904
"Marle, T.G. van, arts (N)",1874-,ZGKN-MJ,"Yogya, arts in Zzh",1904-1906,Reenders MJ 866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905
"Marsh, Lilian Frences (GB)",-1964,C&MA,"Makassar en Long Bia, docent",1931-1964,1942-45 Japanse internering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906
"Marstaller, zr. Emilie (Zwits.)",1911-1985,BM,Banjarmasin,±1938-1942?,diakones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907
"Martin, Karl Alfred, zdl (D)",1897-1971,STC,Manganitu (Sangihe),1930-1932,,~ Louise Diefenbacher ,,,Enemawira (Sangihe),1932-1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908
"Mason, Emily Joy (Canada)",1901-1970,LdH,"Java, in lepra-dorp",1928-±1930,~ ± 1930 H.J. ter Telgte (LdH),,,,> MCelebes; terug naar Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909
"Mattern, A., zdl. (D)",1806/7-'42,NZG,Manado (Minahasa),1835-1838,Kruijf 329v,~ Helena Oudshoff,,,Tomohon (Minahasa),1838-1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910
"Matthes, dr. Benjamin Fred. (N)",1818-1908,NBG,"ZCelebes, taalstudie/bijbelvert.",1848-1869,"BLGNP I, 166v",~ 1848 C.E. Engelenburg † 1855,,,di Nederland,1870-1875,Swellengrebel I 147-172,,,,dir. tolkenschool te Makassar,1876-1879,ambtenaar,,,,"Nederland, bijbelvertaling",1880-1900,gesalarieerd door NBG,,,,,,,,,,,,,,,,,,,911
"Matthews, Joseph B., ond. (VS)",1894-1966,EpMeth,ond. Chinese School te Batavia,1914-1920,"Odyssey (1938, autobiogr.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912
"Mayer, zr. Elisabeth (D)",1904-1951,RMG,"NSumatra, Missionsschwester",1935-1940,1940 Ned. internering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913
"McFerren, Rev. D.D. (VS)",,EpMeth,Sumatra,1936-1942,,~ K. Knutström,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914
"Means, Rev. Paul Banwell, ond. (VS)",1894-1980,EpMeth,"Medan, Principal Boys School",±1927-1929,"zie Laurel Means, Beyond Words,",~ Nathalie Alberta Toms (1901-'99),,,"Malaya, Sengoi-gebied",1929-1939,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915
"Medhurst, Walter H., zdl (GB)",1796-1857,LMS,Batavia,1822-1843,1835-38 en 1842v > China ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916
"Meelhuysen, zr. M.W. (N)",1916-1979,NZV,"Purwak., Krawang, Sukabumi",1939-1942/6,1942-45 Japanse internering,,,,in Nederland,1946-1949,,,,VNZ,"Jkt, hoofd wijkverpleging",1949-1953,,,,,,,,,,,,,,,,,,,,,,,,,,917
"Meerwaldt, Jac. Henr. sr., ond. (N)",1854-1920,RMG,Noord-Sumatra,1879-1916,1883 docent Sem. Pansur­n.,~ (1) 1881 Nelly Kersbergen † 6-1-1884,,,,,(2) ~ te Batavia,~ (2) 1886 Hendrika Maria Pieters † 1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918
"Meerwaldt, Jac. Hendr. jr. (N)",1887-1967,RMG,"Narumonda (NSum), hoofd HIS",1915-1934,1936-'54 voor RMG in Dld,~ 1915 Wilhelmina van Dooren †1957 ,,(SZC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919
"Meeuwig, Joh. Hermanus, zdl (N)",1839-±1923,UZV,Moom (Papua),1871-1876,,~ 1870 Wilh. Gezina Hoogendijk,,,"Mansinam (Papua), ontslagen",1876-1877,"1877 > Batavia, 1892-1912 lid bestuur VCS e.a. Zie RA",,,,WGH: regentes Wisma Djati,,,,,,,,,,,,,,,,,,,,,,,,,,,920
"Meijer, zr. J.M.J. (N)",-1994+,NZG/VNZ,Sibolangit (Deli),1928-1947,verlof 1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921
"Meijerink, H.J.W.A., ond. (N)",1884-1959,,ond. Idenburgschool (HCS),1917-1919,1937-1952 lid Tweede Kamer,~ 1917 A.J. Boese † 1959,,,"Solo, dir. Chr. HIK",1919-1934,"Rd MJ 867; GZbl 1925, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922
"Meijwes (Meeuwes), Jan (N)",1864-1955,UZV,"N-Guinea, zendeling-koopman",1891-1902/6,tevens agent KPM,~ 1903 Willemina van Beijnum (1866-1955[?]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923
"Meinders, zr. Elisabeth (N)",1894-1962,ZGKN-MJ,"Kebumen, hoofdverpleegster",1925-1931,"Rds MJ 867; GZbl 1925, 50",~ 1934 Hendrik Hartman † 1943,,,,,hertrouwt na 1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924
"Meinefeld, Jutta (D)",1903-1990,RMG,"NSumatra, Missionsschwester",1933-1939,1939 naar Europa (Dld),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925
"Meis, Carl Wilhelm, zdl (D)",1867-1922,RMG,Noord-Sumatra,1894-1907,,~ 1896 Adelheid Weyel † 1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926
"Meisel, Richard, zdl (D)",1872-1946,RMG,Noord-Sumatra,1902-1920,~ Sibolga 23-11-1904,~ 1904 Maria Meyer † 1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927
"Meltzer, John Clinton, zdl (VS)",1906-1994,C&MA,"Lombok, Oost-Kal., West-Kal.",1935-1951,,~ 1930 Ruth Dolores Iversen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928
"Menzel, Gustav, zdl (D)",1908-1999,RMG,Zuid-Tapanuli,1937-1940,1940 Ned. internering,~ 1937 Margarethe Starke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929
"Merkelijn, ds. Aart (N)",1878-1943,ZGKN-MJ,"Magelang, miss. pred.",1912-1938,25 Jaar op het Zveld (auto­biog). ,~ 1908 A. Oerlemans † 1963,,,,,"Rds MJ 867, BLGNP II, 324v; GZbl 1929, 141; 1933, 123-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930
"Mertin, zr. Hedwig (D)",1896-1955,RMG,"NSumatra, Missionsschwester",±1930-1940,1940 Ned. internering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931
"Merwart, mw. Ph.A.M., ond. (N)",1889-1943/5,ZGKN-MJ,"Yogya, ond. Kon. Wilh.school",±1914,† in Japanse internering,,,,"Solo, vrouwen en meisjes",±1935-1943,de Jong MJ 782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932
"Metz, Judicus, zdl (N)",1867-1944,UZV,Andai (Papua),1893-1900,NZblad 1944-9, ~ 1903 Maria Hendrika Sellenraad (1867-1945) ,,,Roon (Papua),1900-1901,verlof 1901-03,,,,Doreh (Papua),1903-1906,,,,,"Loloda, Gamsungi (Halmahera)",1906-1913,verlof 1913-15,,,,Tobelo (Halmahera),1916-1920,> naar NL,,,,,,,,,,,,,933
"Metzler, Anna Elisabeth (D)",1885-1985,RMG,"NSumatra, Missionsschwester",1908-1913,~ zdl. Ad. Pieper (Nias),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934
"Metzler, Wilhelm, zdl (D)",1847-1935,RMG,Noord-Sumatra,1875-1924,,~ 1877 Johannetta Kreuter † 1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935
"Meyer/Meijer, dhr. G. (N)",,NZG,"Malang, admin. Zzh Soekoen",1936-1942,,~ E.J. van Engelen,,,"Hollandia, admin. Rumah Sakit",1952-1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936
"Meyer, zr. Gesina Johanna (N)",1898-,SZ,"Blora, Ungaran, verpl. in Zzh",1924-1931,> NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937
"Meyer, zr. J.M.J., zie Meijer ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938
"Meyer, Otto, zdl (D)",,RMG,Tapanuli,1935-1940,1940 Ned. internering,~ ±1935 Dorothea Spellmeyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939
"Michaelis, Johann L., zwm (D)",±1828-1866,ZWM,catecheet en ziekentrooster in ,1853-1866,Reenders AZ 380,~ 1852 Emilie Heinrich,,,de Maleise gemeente te Btv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940
"Michaelis, Oskar Paul, arts (D)",1907,NM/SZ,"Purwodadi, Zzh",1935-1940,10-5-1940 Ned. internering,~ 1934 A. Nicklaus (D),,,internering,1940-1946,"1951 > Naar Dld,",,,,weer op Java,1942-1951,,,,,,,,,,,,,,,,,,,,,,,,,,941
"Michel, Johannes K.K., zdl (D)",1850-1915,RMG,Zuid-Kalimantan,1879-1899,,~ (1) 1881 Henriette Boller 1923+,,,,,~ te Banjarmasin,~ (2) N.N.,,,,,,~ (3) Emilie Ferber † 1936,,,,,,,,,,,,,,,,,,,,,,,,942
